experiment,i,M,base,pm,lora,q,BS,GAS,GBS,beam,tGPU,gGPU
CharismaticAayla,8,h,CaptivatingDromundKaas/11,13,32,nf4,256,128,6,3,66.,46.
CharismaticAayla,7,h,CaptivatingDromundKaas/11,13,32,nf4,256,128,6,3,66.,46.
CharismaticAayla,6,h,CaptivatingDromundKaas/11,13,32,nf4,256,128,6,3,66.,46.
CharismaticAayla,5,h,CaptivatingDromundKaas/11,13,32,nf4,256,128,6,3,66.,46.
CharismaticAayla,4,h,CaptivatingDromundKaas/11,13,32,nf4,256,128,6,3,66.,46.
CharismaticAayla,3,h,CaptivatingDromundKaas/11,13,32,nf4,256,128,6,3,66.,46.
CharismaticAayla,2,h,CaptivatingDromundKaas/11,13,32,nf4,256,128,6,3,66.,46.
CharismaticAayla,1,h,CaptivatingDromundKaas/11,13,32,nf4,256,128,6,3,66.,46.
DashingLothal,0,h,AstralPorg/7,13,32,nf4,256,128,6,3,Non,47.
DauntlessLogray,0,h,ThunderousIlum/10,13,32,nf4,256,128,6,3,Non,42.
BewitchingPonda,0,h,LegendaryIthor/2,13,32,nf4,256,128,6,3,Non,43.
BoldAhsoka,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,Non,Non
DazzlingAhsoka,11,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DazzlingAhsoka,10,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DazzlingAhsoka,9,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DazzlingAhsoka,8,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DazzlingAhsoka,7,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DazzlingAhsoka,6,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DazzlingAhsoka,5,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DazzlingAhsoka,4,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DazzlingAhsoka,3,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DazzlingAhsoka,2,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DazzlingAhsoka,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,57.
DauntlessIG11,0,h,IllustriousDarthMaul/9,13,32,nf4,256,128,6,3,Non,39.
AudaciousRyloth,0,h,DazzlingAhsoka/10,13,32,nf4,256,128,6,3,Non,53.
BewitchingKashyyyk,11,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
BewitchingKashyyyk,10,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
BewitchingKashyyyk,9,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
BewitchingKashyyyk,8,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
BewitchingKashyyyk,7,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
BewitchingKashyyyk,6,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
BewitchingKashyyyk,5,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
BewitchingKashyyyk,4,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,53.
